model_name,Biology,Chemistry,Geography,Medical,pharmacy,physics,psychology
claude-3-5-haiku,3.0,4.0,5.3,7.8,18.0,8.6,4.1
claude-haiku-4-5,1.2,1.9,1.2,1.2,0.5,4.3,1.2
claude-sonnet-4-5,4.0,7.8,4.7,6.9,6.8,5.1,1.2
deepseek-v3.2,24.3,19.4,22.4,21.6,20.5,22.4,22.0
deepseek-v3.2-speciale,60.6,51.3,61.2,51.8,57.1,50.6,54.7
doubao-seed-1-6,9.9,7.1,12.4,13.9,18.0,16.7,10.6
doubao-seed-1-8,14.6,11.0,14.1,26.5,23.9,28.6,16.7
gemini-2.5-flash,56.8,42.5,57.1,52.2,55.1,43.7,55.1
gemini-3-flash-preview,13.6,10.5,18.2,19.6,10.7,21.0,20.8
gemini-3-pro-preview,17.2,20.7,36.5,18.0,16.6,18.2,15.9
glm-4.7,16.0,9.6,24.7,17.6,7.8,18.6,11.0
kimi-k2-0905,39.2,35.2,43.5,31.8,41.0,36.1,33.5
kimi-k2.5,6.7,4.7,8.8,5.7,9.8,4.2,3.3
llama-3.3-70b,53.6,48.9,61.2,48.6,53.2,46.5,56.3
llama-4-maverick,52.4,41.7,55.3,58.4,53.2,61.0,60.4
qwen3-235b-a22b-instruct-2507,17.2,12.5,19.4,14.3,16.1,16.5,13.5
qwen3-max-2026-01-23,6.4,4.8,12.9,5.3,6.8,7.3,1.6
qwen_qwen2.5-72b-instruct,19.0,15.4,26.5,18.4,27.3,21.6,18.4
