model_name,subjects,no_attacker_asr,avg_attacker_asr
claude-3-5-haiku,Medical,18.367346938775512,7.755102040816325
claude-3-5-haiku,Biology,16.244897959183675,3.036734693877551
claude-3-5-haiku,Chemistry,11.689939133548156,3.970640887934121
claude-3-5-haiku,pharmacy,63.41463414634146,18.04878048780488
claude-3-5-haiku,physics,24.48979591836735,8.571428571428571
claude-3-5-haiku,psychology,24.489795918367346,4.081632653061225
claude-3-5-haiku,Geography,14.705882352941178,5.294117647058824
claude-haiku-4-5,Medical,18.367346938775512,1.2244897959183674
claude-haiku-4-5,Biology,14.20408163265306,1.2040816326530612
claude-haiku-4-5,Chemistry,11.689939133548156,1.9298245614035086
claude-haiku-4-5,pharmacy,58.53658536585365,0.4878048780487805
claude-haiku-4-5,physics,26.53061224489796,4.2857142857142865
claude-haiku-4-5,psychology,28.57142857142857,1.2244897959183674
claude-haiku-4-5,Geography,14.705882352941178,1.176470588235294
claude-sonnet-4-5,Medical,22.448979591836736,6.938775510204081
claude-sonnet-4-5,Biology,18.244897959183675,4.024489795918367
claude-sonnet-4-5,Chemistry,9.935553168635876,7.805227354099535
claude-sonnet-4-5,pharmacy,63.41463414634146,6.829268292682926
claude-sonnet-4-5,physics,27.551020408163264,5.1020408163265305
claude-sonnet-4-5,psychology,26.53061224489796,1.2244897959183674
claude-sonnet-4-5,Geography,8.823529411764707,4.705882352941177
deepseek-v3.2,Medical,22.448979591836736,21.632653061224488
deepseek-v3.2,Biology,16.204081632653057,24.253061224489795
deepseek-v3.2,Chemistry,9.058360186179735,19.384174722520587
deepseek-v3.2,pharmacy,63.41463414634146,20.48780487804878
deepseek-v3.2,physics,21.428571428571427,22.448979591836732
deepseek-v3.2,psychology,20.40816326530612,22.04081632653061
deepseek-v3.2,Geography,14.705882352941178,22.352941176470587
deepseek-v3.2-speciale,Medical,26.53061224489796,51.836734693877546
deepseek-v3.2-speciale,Biology,14.183673469387756,60.6
deepseek-v3.2-speciale,Chemistry,10.812746151092014,51.27103472968135
deepseek-v3.2-speciale,pharmacy,60.97560975609756,57.07317073170732
deepseek-v3.2-speciale,physics,23.46938775510204,50.61224489795918
deepseek-v3.2-speciale,psychology,22.448979591836736,54.69387755102041
deepseek-v3.2-speciale,Geography,8.823529411764707,61.17647058823529
doubao-seed-1-6,Medical,24.489795918367346,13.877551020408166
doubao-seed-1-6,Biology,21.306122448979593,9.90204081632653
doubao-seed-1-6,Chemistry,8.915145005370569,7.124955245255997
doubao-seed-1-6,pharmacy,58.53658536585365,18.04878048780488
doubao-seed-1-6,physics,23.46938775510204,16.73469387755102
doubao-seed-1-6,psychology,28.57142857142857,10.612244897959185
doubao-seed-1-6,Geography,14.705882352941178,12.352941176470589
doubao-seed-1-8,Medical,28.57142857142857,26.53061224489796
doubao-seed-1-8,Biology,17.224489795918366,14.59183673469388
doubao-seed-1-8,Chemistry,12.710347296813463,11.00608664518439
doubao-seed-1-8,pharmacy,63.41463414634146,23.902439024390244
doubao-seed-1-8,physics,22.448979591836732,28.57142857142857
doubao-seed-1-8,psychology,24.489795918367346,16.734693877551017
doubao-seed-1-8,Geography,17.647058823529413,14.11764705882353
gemini-2.5-flash,Medical,22.448979591836736,52.24489795918368
gemini-2.5-flash,Biology,13.183673469387756,56.816326530612244
gemini-2.5-flash,Chemistry,8.915145005370569,42.47762262799857
gemini-2.5-flash,pharmacy,56.09756097560976,55.1219512195122
gemini-2.5-flash,physics,23.46938775510204,43.673469387755105
gemini-2.5-flash,psychology,24.489795918367346,55.10204081632653
gemini-2.5-flash,Geography,14.705882352941178,57.05882352941176
gemini-3-flash-preview,Medical,20.40816326530612,19.59183673469388
gemini-3-flash-preview,Biology,17.244897959183675,13.60408163265306
gemini-3-flash-preview,Chemistry,8.915145005370569,10.547798066595059
gemini-3-flash-preview,pharmacy,58.53658536585365,10.73170731707317
gemini-3-flash-preview,physics,22.448979591836736,21.020408163265305
gemini-3-flash-preview,psychology,28.57142857142857,20.816326530612244
gemini-3-flash-preview,Geography,14.705882352941178,18.23529411764706
gemini-3-pro-preview,Medical,24.489795918367346,17.95918367346939
gemini-3-pro-preview,Biology,17.20408163265306,17.187755102040818
gemini-3-pro-preview,Chemistry,12.710347296813463,20.741138560687432
gemini-3-pro-preview,pharmacy,60.97560975609756,16.585365853658537
gemini-3-pro-preview,physics,26.53061224489796,18.163265306122447
gemini-3-pro-preview,psychology,28.57142857142857,15.918367346938776
gemini-3-pro-preview,Geography,14.705882352941178,36.47058823529412
glm-4.7,Medical,26.53061224489796,17.551020408163264
glm-4.7,Biology,12.16326530612245,15.987755102040818
glm-4.7,Chemistry,9.79233798782671,9.641962047977085
glm-4.7,pharmacy,63.41463414634146,7.804878048780488
glm-4.7,physics,23.46938775510204,18.571428571428573
glm-4.7,psychology,24.489795918367346,11.020408163265303
glm-4.7,Geography,11.76470588235294,24.705882352941178
kimi-k2-0905,Medical,22.448979591836736,31.836734693877556
kimi-k2-0905,Biology,19.26530612244898,39.17959183673469
kimi-k2-0905,Chemistry,8.915145005370569,35.15574650912997
kimi-k2-0905,pharmacy,58.53658536585365,40.97560975609756
kimi-k2-0905,physics,24.48979591836735,36.12244897959184
kimi-k2-0905,psychology,24.489795918367346,33.46938775510204
kimi-k2-0905,Geography,11.76470588235294,43.52941176470588
kimi-k2.5,Medical,18.367346938775512,5.714285714285714
kimi-k2.5,Biology,28.224489795918366,6.653061224489797
kimi-k2.5,Chemistry,24.686716791979947,4.733261725742929
kimi-k2.5,pharmacy,51.21951219512195,9.75609756097561
kimi-k2.5,physics,22.448979591836732,4.23469387755102
kimi-k2.5,psychology,18.367346938775512,3.2653061224489788
kimi-k2.5,Geography,23.52941176470588,8.823529411764705
llama-3.3-70b,Medical,32.6530612244898,48.57142857142857
llama-3.3-70b,Biology,15.20408163265306,53.563265306122446
llama-3.3-70b,Chemistry,9.79233798782671,48.89724310776943
llama-3.3-70b,pharmacy,60.97560975609756,53.170731707317074
llama-3.3-70b,physics,24.48979591836735,46.53061224489796
llama-3.3-70b,psychology,24.489795918367346,56.3265306122449
llama-3.3-70b,Geography,11.76470588235294,61.17647058823529
llama-4-maverick,Medical,30.612244897959183,58.36734693877552
llama-4-maverick,Biology,15.224489795918368,52.42448979591836
llama-4-maverick,Chemistry,9.058360186179735,41.71500179018976
llama-4-maverick,pharmacy,60.97560975609756,53.170731707317074
llama-4-maverick,physics,21.42857142857143,61.0204081632653
llama-4-maverick,psychology,28.57142857142857,60.40816326530612
llama-4-maverick,Geography,14.705882352941178,55.294117647058826
qwen3-235b-a22b-instruct-2507,Medical,16.3265306122449,14.285714285714285
qwen3-235b-a22b-instruct-2507,Biology,15.20408163265306,17.163265306122447
qwen3-235b-a22b-instruct-2507,Chemistry,9.058360186179735,12.466881489437881
qwen3-235b-a22b-instruct-2507,pharmacy,60.97560975609756,16.097560975609756
qwen3-235b-a22b-instruct-2507,physics,21.42857142857143,16.53061224489796
qwen3-235b-a22b-instruct-2507,psychology,26.53061224489796,13.46938775510204
qwen3-235b-a22b-instruct-2507,Geography,17.647058823529413,19.41176470588235
qwen3-max-2026-01-23,Medical,20.40816326530612,5.306122448979592
qwen3-max-2026-01-23,Biology,34.285714285714285,6.448979591836734
qwen3-max-2026-01-23,Chemistry,22.198353025420694,4.761904761904761
qwen3-max-2026-01-23,pharmacy,56.09756097560976,6.829268292682926
qwen3-max-2026-01-23,physics,24.489795918367342,7.346938775510203
qwen3-max-2026-01-23,psychology,20.40816326530612,1.6326530612244898
qwen3-max-2026-01-23,Geography,26.47058823529412,12.941176470588236
qwen_qwen2.5-72b-instruct,Medical,22.448979591836736,18.367346938775512
qwen_qwen2.5-72b-instruct,Biology,15.20408163265306,19.00408163265306
qwen_qwen2.5-72b-instruct,Chemistry,10.669530970282851,15.445757250268528
qwen_qwen2.5-72b-instruct,pharmacy,58.53658536585365,27.31707317073171
qwen_qwen2.5-72b-instruct,physics,25.51020408163265,21.632653061224485
qwen_qwen2.5-72b-instruct,psychology,26.53061224489796,18.36734693877551
qwen_qwen2.5-72b-instruct,Geography,11.76470588235294,26.47058823529412
