model_name,Biology,Chemistry,Geography,Medical,pharmacy,physics,psychology
claude-3-5-haiku,16.2,11.7,14.7,18.4,63.4,24.5,24.5
claude-haiku-4-5,14.2,11.7,14.7,18.4,58.5,26.5,28.6
claude-sonnet-4-5,18.2,9.9,8.8,22.4,63.4,27.6,26.5
claude-sonnet-4-6,14.1,15.5,23.5,14.3,12.2,19.4,4.1
deepseek-v3.2,16.2,9.1,14.7,22.4,63.4,21.4,20.4
deepseek-v3.2-speciale,14.2,10.8,8.8,26.5,61.0,23.5,22.4
doubao-seed-1-6,21.3,8.9,14.7,24.5,58.5,23.5,28.6
doubao-seed-1-8,17.2,12.7,17.6,28.6,63.4,22.4,24.5
doubao-seed-2-0-pro,14.2,13.7,29.4,14.3,22.0,14.3,4.1
gemini-2.5-flash,13.2,8.9,14.7,22.4,56.1,23.5,24.5
gemini-3-flash-preview,17.2,8.9,14.7,20.4,58.5,22.4,28.6
gemini-3-pro-preview,17.2,12.7,14.7,24.5,61.0,26.5,28.6
gemini-3.1-pro-preview,17.2,14.6,29.4,14.3,24.4,19.4,4.1
glm-4.7,12.2,9.8,11.8,26.5,63.4,23.5,24.5
glm-5,20.2,20.3,26.5,16.3,29.3,19.4,6.1
kimi-k2-0905,19.3,8.9,11.8,22.4,58.5,24.5,24.5
kimi-k2.5,28.2,24.7,23.5,18.4,51.2,22.4,18.4
llama-3.3-70b,15.2,9.8,11.8,32.7,61.0,24.5,24.5
llama-4-maverick,15.2,9.1,14.7,30.6,61.0,21.4,28.6
minimax-m2.5,16.2,18.3,26.5,12.2,14.6,18.4,4.1
qwen3-235b-a22b-instruct-2507,15.2,9.1,17.6,16.3,61.0,21.4,26.5
qwen3-max-2026-01-23,34.3,22.2,26.5,20.4,56.1,24.5,20.4
qwen3.5-plus,17.2,17.2,29.4,12.2,19.5,17.3,4.1
qwen_qwen2.5-72b-instruct,15.2,10.7,11.8,22.4,58.5,25.5,26.5
